device,time_in_ms,time_in_ns,method,graph,nnodes,nedges,problem
Tesla K80,1048,1048373584,SYCL Data-Driven,livejournal,4847571,68993773,BFS
Tesla K80,948,948639824,SYCL Data-Driven,livejournal,4847571,68993773,BFS
Tesla K80,870,870451944,SYCL Data-Driven,livejournal,4847571,68993773,BFS
Tesla K80,3502,3502165649,SYCL Topology-Driven,livejournal,4847571,68993773,BFS
Tesla K80,3515,3515140569,SYCL Topology-Driven,livejournal,4847571,68993773,BFS
Tesla K80,3503,3503652527,SYCL Topology-Driven,livejournal,4847571,68993773,BFS
Tesla K80,44,44357807,Lonestar,livejournal,4847571,68993773,BFS
Tesla K80,45,45099695,Lonestar,livejournal,4847571,68993773,BFS
Tesla K80,45,45343856,Lonestar,livejournal,4847571,68993773,BFS
GeForce GTX,86,86967054,SYCL Data-Driven,rmat15,32768,524288,BFS
GeForce GTX,42,42985189,SYCL Data-Driven,rmat15,32768,524288,BFS
GeForce GTX,42,42981393,SYCL Data-Driven,rmat15,32768,524288,BFS
GeForce GTX,81,81610064,SYCL Topology-Driven,rmat15,32768,524288,BFS
GeForce GTX,46,46044079,SYCL Topology-Driven,rmat15,32768,524288,BFS
GeForce GTX,47,47393830,SYCL Topology-Driven,rmat15,32768,524288,BFS
GeForce GTX,5,5916659,Lonestar,rmat15,32768,524288,BFS
GeForce GTX,6,6014627,Lonestar,rmat15,32768,524288,BFS
GeForce GTX,5,5988935,Lonestar,rmat15,32768,524288,BFS
Tesla K80,371,371599774,SYCL Data-Driven,rmat15,32768,524288,BFS
Tesla K80,42,42761779,SYCL Data-Driven,rmat15,32768,524288,BFS
Tesla K80,22,22691261,SYCL Data-Driven,rmat15,32768,524288,BFS
Tesla K80,249,249335596,SYCL Topology-Driven,rmat15,32768,524288,BFS
Tesla K80,61,61293286,SYCL Topology-Driven,rmat15,32768,524288,BFS
Tesla K80,40,40859585,SYCL Topology-Driven,rmat15,32768,524288,BFS
Tesla K80,5,5970742,Lonestar,rmat15,32768,524288,BFS
Tesla K80,7,7035243,Lonestar,rmat15,32768,524288,BFS
Tesla K80,6,6021225,Lonestar,rmat15,32768,524288,BFS
GeForce GTX,88,88341766,SYCL Data-Driven,rmat20,1048576,16777216,BFS
GeForce GTX,90,90371402,SYCL Data-Driven,rmat20,1048576,16777216,BFS
GeForce GTX,88,88006896,SYCL Data-Driven,rmat20,1048576,16777216,BFS
GeForce GTX,194,194367793,SYCL Topology-Driven,rmat20,1048576,16777216,BFS
GeForce GTX,198,198617920,SYCL Topology-Driven,rmat20,1048576,16777216,BFS
GeForce GTX,195,195418225,SYCL Topology-Driven,rmat20,1048576,16777216,BFS
GeForce GTX,78,78598981,Lonestar,rmat20,1048576,16777216,BFS
GeForce GTX,77,77691802,Lonestar,rmat20,1048576,16777216,BFS
GeForce GTX,77,77627050,Lonestar,rmat20,1048576,16777216,BFS
Tesla K80,162,162071904,SYCL Data-Driven,rmat20,1048576,16777216,BFS
Tesla K80,181,181857970,SYCL Data-Driven,rmat20,1048576,16777216,BFS
Tesla K80,138,138513560,SYCL Data-Driven,rmat20,1048576,16777216,BFS
Tesla K80,369,369285695,SYCL Topology-Driven,rmat20,1048576,16777216,BFS
Tesla K80,363,363976243,SYCL Topology-Driven,rmat20,1048576,16777216,BFS
Tesla K80,269,269032776,SYCL Topology-Driven,rmat20,1048576,16777216,BFS
Tesla K80,56,56815377,Lonestar,rmat20,1048576,16777216,BFS
Tesla K80,55,55393110,Lonestar,rmat20,1048576,16777216,BFS
Tesla K80,55,55351376,Lonestar,rmat20,1048576,16777216,BFS
GeForce GTX,216,216448015,SYCL Data-Driven,rmat22,4194304,67108864,BFS
GeForce GTX,318,318680963,SYCL Data-Driven,rmat22,4194304,67108864,BFS
GeForce GTX,217,217394278,SYCL Data-Driven,rmat22,4194304,67108864,BFS
GeForce GTX,810,810638015,SYCL Topology-Driven,rmat22,4194304,67108864,BFS
GeForce GTX,813,813582460,SYCL Topology-Driven,rmat22,4194304,67108864,BFS
GeForce GTX,797,797464114,SYCL Topology-Driven,rmat22,4194304,67108864,BFS
GeForce GTX,62,62096133,Lonestar,rmat22,4194304,67108864,BFS
GeForce GTX,55,55481382,Lonestar,rmat22,4194304,67108864,BFS
GeForce GTX,51,51911948,Lonestar,rmat22,4194304,67108864,BFS
Tesla K80,530,530580261,SYCL Data-Driven,rmat22,4194304,67108864,BFS
Tesla K80,531,531267513,SYCL Data-Driven,rmat22,4194304,67108864,BFS
Tesla K80,432,432439307,SYCL Data-Driven,rmat22,4194304,67108864,BFS
Tesla K80,1482,1482270118,SYCL Topology-Driven,rmat22,4194304,67108864,BFS
Tesla K80,1417,1417099737,SYCL Topology-Driven,rmat22,4194304,67108864,BFS
Tesla K80,1408,1408826761,SYCL Topology-Driven,rmat22,4194304,67108864,BFS
Tesla K80,46,46643003,Lonestar,rmat22,4194304,67108864,BFS
Tesla K80,46,46424396,Lonestar,rmat22,4194304,67108864,BFS
Tesla K80,46,46370573,Lonestar,rmat22,4194304,67108864,BFS
GeForce GTX,351,351764540,SYCL Data-Driven,road-USA-CTR,264346,733846,BFS
GeForce GTX,306,306470254,SYCL Data-Driven,road-USA-CTR,264346,733846,BFS
GeForce GTX,366,366920879,SYCL Data-Driven,road-USA-CTR,264346,733846,BFS
GeForce GTX,51805,266360128,SYCL Topology-Driven,road-USA-CTR,264346,733846,BFS
GeForce GTX,51821,282263352,SYCL Topology-Driven,road-USA-CTR,264346,733846,BFS
GeForce GTX,51511,4267118878,SYCL Topology-Driven,road-USA-CTR,264346,733846,BFS
GeForce GTX,21,21914232,Lonestar,road-USA-CTR,264346,733846,BFS
GeForce GTX,21,21795342,Lonestar,road-USA-CTR,264346,733846,BFS
GeForce GTX,23,23369931,Lonestar,road-USA-CTR,264346,733846,BFS
Tesla K80,2087,2087659630,SYCL Data-Driven,road-USA-CTR,264346,733846,BFS
Tesla K80,2806,2806109536,SYCL Data-Driven,road-USA-CTR,264346,733846,BFS
Tesla K80,1233,1233605526,SYCL Data-Driven,road-USA-CTR,264346,733846,BFS
Tesla K80,52538,999093747,SYCL Topology-Driven,road-USA-CTR,264346,733846,BFS
Tesla K80,51488,4243641830,SYCL Topology-Driven,road-USA-CTR,264346,733846,BFS
Tesla K80,51312,4067666790,SYCL Topology-Driven,road-USA-CTR,264346,733846,BFS
Tesla K80,22,22037241,Lonestar,road-USA-CTR,264346,733846,BFS
Tesla K80,22,22134551,Lonestar,road-USA-CTR,264346,733846,BFS
Tesla K80,22,22078509,Lonestar,road-USA-CTR,264346,733846,BFS
GeForce GTX,1444,1444918708,SYCL Data-Driven,road-USA-W,6262104,15119284,BFS
GeForce GTX,1338,1338391560,SYCL Data-Driven,road-USA-W,6262104,15119284,BFS
GeForce GTX,1359,1359096114,SYCL Data-Driven,road-USA-W,6262104,15119284,BFS
GeForce GTX,211330,876702928,SYCL Topology-Driven,road-USA-W,6262104,15119284,BFS
GeForce GTX,211356,902996190,SYCL Topology-Driven,road-USA-W,6262104,15119284,BFS
GeForce GTX,212863,2410109111,SYCL Topology-Driven,road-USA-W,6262104,15119284,BFS
GeForce GTX,91,91101331,Lonestar,road-USA-W,6262104,15119284,BFS
GeForce GTX,81,81726420,Lonestar,road-USA-W,6262104,15119284,BFS
GeForce GTX,81,81792962,Lonestar,road-USA-W,6262104,15119284,BFS
Tesla K80,9085,496050608,SYCL Data-Driven,road-USA-W,6262104,15119284,BFS
Tesla K80,32358,2293702014,SYCL Data-Driven,road-USA-W,6262104,15119284,BFS
Tesla K80,5359,1064519533,SYCL Data-Driven,road-USA-W,6262104,15119284,BFS
Tesla K80,208689,2530707713,SYCL Topology-Driven,road-USA-W,6262104,15119284,BFS
