device,time_in_ms,time_in_ns,method,graph,nnodes,nedges,problem
Tesla K80,44,44618578,Lonestar,livejournal,4847571,68993773,BFS
Tesla K80,44,44720093,Lonestar,livejournal,4847571,68993773,BFS
Tesla K80,45,45090476,Lonestar,livejournal,4847571,68993773,BFS
Tesla K80,1721,1721289172,SYCL Data-Driven,livejournal,4847571,68993773,BFS
Tesla K80,1734,1734057888,SYCL Data-Driven,livejournal,4847571,68993773,BFS
Tesla K80,1729,1729363002,SYCL Data-Driven,livejournal,4847571,68993773,BFS
Tesla K80,1127,1127735336,SYCL Data-Driven,livejournal,4847571,68993773,BFS
Tesla K80,1124,1124461462,SYCL Data-Driven,livejournal,4847571,68993773,BFS
Tesla K80,1127,1127249614,SYCL Data-Driven,livejournal,4847571,68993773,BFS
Tesla K80,832,832433315,SYCL Data-Driven,livejournal,4847571,68993773,BFS
Tesla K80,826,826259825,SYCL Data-Driven,livejournal,4847571,68993773,BFS
Tesla K80,807,807060377,SYCL Data-Driven,livejournal,4847571,68993773,BFS
Tesla K80,609,609005334,SYCL Data-Driven,livejournal,4847571,68993773,BFS
Tesla K80,590,590530810,SYCL Data-Driven,livejournal,4847571,68993773,BFS
Tesla K80,604,604368566,SYCL Data-Driven,livejournal,4847571,68993773,BFS
Tesla K80,605,605297422,SYCL Data-Driven,livejournal,4847571,68993773,BFS
Tesla K80,606,606084238,SYCL Data-Driven,livejournal,4847571,68993773,BFS
Tesla K80,607,607024349,SYCL Data-Driven,livejournal,4847571,68993773,BFS
Tesla K80,9109,519513863,SYCL Topology-Driven,livejournal,4847571,68993773,BFS
Tesla K80,9109,519648753,SYCL Topology-Driven,livejournal,4847571,68993773,BFS
Tesla K80,9110,520175518,SYCL Topology-Driven,livejournal,4847571,68993773,BFS
Tesla K80,4902,607048340,SYCL Topology-Driven,livejournal,4847571,68993773,BFS
Tesla K80,4906,611877843,SYCL Topology-Driven,livejournal,4847571,68993773,BFS
Tesla K80,5602,1307929497,SYCL Topology-Driven,livejournal,4847571,68993773,BFS
Tesla K80,3199,3199345048,SYCL Topology-Driven,livejournal,4847571,68993773,BFS
Tesla K80,3199,3199062039,SYCL Topology-Driven,livejournal,4847571,68993773,BFS
Tesla K80,3200,3200042317,SYCL Topology-Driven,livejournal,4847571,68993773,BFS
Tesla K80,1396,1396438549,SYCL Topology-Driven,livejournal,4847571,68993773,BFS
Tesla K80,1601,1601248043,SYCL Topology-Driven,livejournal,4847571,68993773,BFS
Tesla K80,1612,1612759873,SYCL Topology-Driven,livejournal,4847571,68993773,BFS
Tesla K80,696,696055247,SYCL Topology-Driven,livejournal,4847571,68993773,BFS
Tesla K80,780,780778400,SYCL Topology-Driven,livejournal,4847571,68993773,BFS
Tesla K80,696,696776545,SYCL Topology-Driven,livejournal,4847571,68993773,BFS
GeForce GTX,6,6284541,Lonestar,rmat15,32768,524288,BFS
GeForce GTX,5,5932627,Lonestar,rmat15,32768,524288,BFS
GeForce GTX,5,5983955,Lonestar,rmat15,32768,524288,BFS
GeForce GTX,43,43064413,SYCL Data-Driven,rmat15,32768,524288,BFS
GeForce GTX,46,46777908,SYCL Data-Driven,rmat15,32768,524288,BFS
GeForce GTX,41,41936601,SYCL Data-Driven,rmat15,32768,524288,BFS
GeForce GTX,81,81719028,SYCL Data-Driven,rmat15,32768,524288,BFS
GeForce GTX,81,81713966,SYCL Data-Driven,rmat15,32768,524288,BFS
GeForce GTX,81,81629239,SYCL Data-Driven,rmat15,32768,524288,BFS
GeForce GTX,464,464500310,SYCL Data-Driven,rmat15,32768,524288,BFS
GeForce GTX,468,468248089,SYCL Data-Driven,rmat15,32768,524288,BFS
GeForce GTX,546,546253970,SYCL Data-Driven,rmat15,32768,524288,BFS
GeForce GTX,1271,1271056870,SYCL Data-Driven,rmat15,32768,524288,BFS
GeForce GTX,1273,1273839076,SYCL Data-Driven,rmat15,32768,524288,BFS
GeForce GTX,1269,1269459083,SYCL Data-Driven,rmat15,32768,524288,BFS
GeForce GTX,2993,2993315114,SYCL Data-Driven,rmat15,32768,524288,BFS
GeForce GTX,2966,2966980663,SYCL Data-Driven,rmat15,32768,524288,BFS
GeForce GTX,2961,2961126574,SYCL Data-Driven,rmat15,32768,524288,BFS
GeForce GTX,40,40787303,SYCL Topology-Driven,rmat15,32768,524288,BFS
GeForce GTX,57,57724147,SYCL Topology-Driven,rmat15,32768,524288,BFS
GeForce GTX,40,40872489,SYCL Topology-Driven,rmat15,32768,524288,BFS
GeForce GTX,40,40831239,SYCL Topology-Driven,rmat15,32768,524288,BFS
GeForce GTX,41,41128122,SYCL Topology-Driven,rmat15,32768,524288,BFS
GeForce GTX,56,56545741,SYCL Topology-Driven,rmat15,32768,524288,BFS
GeForce GTX,50,50632424,SYCL Topology-Driven,rmat15,32768,524288,BFS
GeForce GTX,58,58335667,SYCL Topology-Driven,rmat15,32768,524288,BFS
GeForce GTX,57,57582912,SYCL Topology-Driven,rmat15,32768,524288,BFS
GeForce GTX,50,50523277,SYCL Topology-Driven,rmat15,32768,524288,BFS
GeForce GTX,47,47844881,SYCL Topology-Driven,rmat15,32768,524288,BFS
GeForce GTX,48,48333501,SYCL Topology-Driven,rmat15,32768,524288,BFS
GeForce GTX,61,61089204,SYCL Topology-Driven,rmat15,32768,524288,BFS
GeForce GTX,48,48591498,SYCL Topology-Driven,rmat15,32768,524288,BFS
GeForce GTX,40,40854499,SYCL Topology-Driven,rmat15,32768,524288,BFS
Tesla K80,5,5897996,Lonestar,rmat15,32768,524288,BFS
Tesla K80,6,6566682,Lonestar,rmat15,32768,524288,BFS
